route_id,agency_id,route_short_name,Type,avg_co2_per_vehicle_per_km,avg_passenger_count,assigned_engine_type,assigned_engine_factor_gCO2_per_km
1016,HSL,16,A-bus,1100,11.0,Bus - ICE,92.0
1020,HSL,20,D-bus,0,18.0,Bus - BEV,30.5
1021,HSL,21,A-bus,1100,11.0,Bus - ICE,92.0
1021N,HSL,21N,A-bus,1100,11.0,Bus - ICE,92.0
1022,HSL,22,A-bus,1100,11.0,Bus - ICE,92.0
1022B,HSL,22B,A-bus,1100,11.0,Bus - ICE,92.0
1023,HSL,23,A-bus,0,11.0,Bus - BEV,30.5
1024,HSL,24,A-bus,0,11.0,Bus - BEV,30.5
1025,HSL,25,A-bus,0,11.0,Bus - BEV,30.5
1026,HSL,26,M-bus,230,1.5,Bus - HEV,71.0
1030,HSL,30,D-bus,0,18.0,Bus - BEV,30.5
1031,HSL,31,M-bus,230,1.5,Bus - HEV,71.0
1032,HSL,32,M-bus,230,1.5,Bus - HEV,71.0
1033,HSL,33,M-bus,230,1.5,Bus - HEV,71.0
1034,HSL,34,M-bus,230,1.5,Bus - HEV,71.0
1035,HSL,35,M-bus,230,1.5,Bus - HEV,71.0
1036,HSL,36,M-bus,230,1.5,Bus - HEV,71.0
1037,HSL,37,A-bus,0,11.0,Bus - BEV,30.5
1040,HSL,40,D-bus,0,18.0,Bus - BEV,30.5
1041,HSL,41,A-bus,0,11.0,Bus - BEV,30.5
1042,HSL,42,A-bus,0,11.0,Bus - BEV,30.5
1052,HSL,52,A-bus,0,11.0,Bus - BEV,30.5
1053,HSL,53,A-bus,0,11.0,Bus - BEV,30.5
1054,HSL,54,C-bus,1300,14.0,Bus - ICE,92.0
1055,HSL,55,A-bus,0,11.0,Bus - BEV,30.5
1056,HSL,56,A-bus,0,11.0,Bus - BEV,30.5
1057,HSL,57,C-bus,0,14.0,Bus - BEV,30.5
1059,HSL,59,C-bus,0,14.0,Bus - BEV,30.5
1061,HSL,61,C-bus,1300,14.0,Bus - ICE,92.0
1061N,HSL,61N,C-bus,1300,14.0,Bus - ICE,92.0
1063,HSL,63,C-bus,1300,14.0,Bus - ICE,92.0
1064,HSL,64,C-bus,1300,14.0,Bus - ICE,92.0
1065,HSL,65,C-bus,1300,14.0,Bus - ICE,92.0
1066,HSL,66,C-bus,1300,14.0,Bus - ICE,92.0
1067,HSL,67,C-bus,1300,14.0,Bus - ICE,92.0
1067N,HSL,67N,C-bus,1300,14.0,Bus - ICE,92.0
1069,HSL,69,A-bus,1100,11.0,Bus - ICE,92.0
1070,HSL,70,A-bus,1100,11.0,Bus - ICE,92.0
1071,HSL,71,C-bus,1300,14.0,Bus - ICE,92.0
1073,HSL,73,C-bus,1300,14.0,Bus - ICE,92.0
1073N,HSL,73N,C-bus,1300,14.0,Bus - ICE,92.0
1074,HSL,74,C-bus,1300,14.0,Bus - ICE,92.0
1074N,HSL,74N,C-bus,1300,14.0,Bus - ICE,92.0
1075,HSL,75,C-bus,1300,14.0,Bus - ICE,92.0
1077,HSL,77,C-bus,0,14.0,Bus - BEV,30.5
1077N,HSL,77N,C-bus,1300,14.0,Bus - ICE,92.0
1078,HSL,78,C-bus,1300,14.0,Bus - ICE,92.0
1078N,HSL,78N,C-bus,1300,14.0,Bus - ICE,92.0
1079,HSL,79,C-bus,0,14.0,Bus - BEV,30.5
1079B,HSL,79B,A-bus,1100,11.0,Bus - ICE,92.0
1079N,HSL,79N,C-bus,0,14.0,Bus - BEV,30.5
1080,HSL,80,A-bus,0,11.0,Bus - BEV,30.5
1081,HSL,81,A-bus,0,11.0,Bus - BEV,30.5
1082,HSL,82,A-bus,0,11.0,Bus - BEV,30.5
1082B,HSL,82B,A-bus,0,11.0,Bus - BEV,30.5
1083,HSL,83,A-bus,0,11.0,Bus - BEV,30.5
1084,HSL,84,C-bus,0,14.0,Bus - BEV,30.5
1085,HSL,85,C-bus,0,14.0,Bus - BEV,30.5
1085B,HSL,85B,A-bus,0,11.0,Bus - BEV,30.5
1085K,HSL,85K,A-bus,0,11.0,Bus - BEV,30.5
1085N,HSL,85N,C-bus,0,14.0,Bus - BEV,30.5
1086,HSL,86,A-bus,0,11.0,Bus - BEV,30.5
1086K,HSL,86K,C-bus,0,14.0,Bus - BEV,30.5
1086N,HSL,86N,C-bus,0,14.0,Bus - BEV,30.5
1087,HSL,87,C-bus,0,14.0,Bus - BEV,30.5
1087N,HSL,87N,C-bus,0,14.0,Bus - BEV,30.5
1088,HSL,88,C-bus,0,14.0,Bus - BEV,30.5
1089,HSL,89,C-bus,0,14.0,Bus - BEV,30.5
1090,HSL,90,A-bus,1100,11.0,Bus - ICE,92.0
1090A,HSL,90A,A-bus,1100,11.0,Bus - ICE,92.0
1090N,HSL,90N,C-bus,1300,14.0,Bus - ICE,92.0
1092,HSL,92,A-bus,0,11.0,Bus - BEV,30.5
1092N,HSL,92N,C-bus,0,14.0,Bus - BEV,30.5
1094,HSL,94,A-bus,0,11.0,Bus - BEV,30.5
1094A,HSL,94A,A-bus,0,11.0,Bus - BEV,30.5
1094B,HSL,94B,M-bus,230,1.5,Bus - HEV,71.0
1094N,HSL,94N,A-bus,0,11.0,Bus - BEV,30.5
1095,HSL,95,A-bus,0,11.0,Bus - BEV,30.5
1095N,HSL,95N,C-bus,0,14.0,Bus - BEV,30.5
1096,HSL,96,A-bus,1100,11.0,Bus - ICE,92.0
1096N,HSL,96N,C-bus,1300,14.0,Bus - ICE,92.0
1097,HSL,97,A-bus,0,11.0,Bus - BEV,30.5
1097N,HSL,97N,C-bus,0,14.0,Bus - BEV,30.5
1097V,HSL,97V,A-bus,0,11.0,Bus - BEV,30.5
1098,HSL,98,A-bus,0,11.0,Bus - BEV,30.5
1500,HSL,500,C-bus,0,14.0,Bus - BEV,30.5
1506,HSL,506,A-bus,1100,11.0,Bus - ICE,92.0
1603,HSL,603,M-bus,230,1.5,Bus - HEV,71.0
1701,HSL,701,M-bus,230,1.5,Bus - HEV,71.0
1702,HSL,702,M-bus,230,1.5,Bus - HEV,71.0
1704,HSL,704,M-bus,230,1.5,Bus - HEV,71.0
1802,HSL,802,M-bus,230,1.5,Bus - HEV,71.0
1805,HSL,805,M-bus,230,1.5,Bus - HEV,71.0
1812,HSL,812,M-bus,230,1.5,Bus - HEV,71.0
1813,HSL,813,M-bus,230,1.5,Bus - HEV,71.0
1814,HSL,814,M-bus,230,1.5,Bus - HEV,71.0
1815,HSL,815,M-bus,230,1.5,Bus - HEV,71.0
1816,HSL,816,M-bus,230,1.5,Bus - HEV,71.0
1817,HSL,817,M-bus,230,1.5,Bus - HEV,71.0
1818,HSL,818,M-bus,230,1.5,Bus - HEV,71.0
1831,HSL,831,A-bus,0,11.0,Bus - BEV,30.5
1831K,HSL,831K,A-bus,0,11.0,Bus - BEV,30.5
1839,HSL,839,M-bus,230,1.5,Bus - HEV,71.0
1839K,HSL,839K,M-bus,230,1.5,Bus - HEV,71.0
2105,HSL,105,A-bus,1100,11.0,Bus - ICE,92.0
2108N,HSL,108N,A-bus,1100,11.0,Bus - ICE,92.0
2111,HSL,111,A-bus,1100,11.0,Bus - ICE,92.0
2112N,HSL,112N,C-bus,1300,14.0,Bus - ICE,92.0
2113,HSL,113,A-bus,1100,11.0,Bus - ICE,92.0
2113N,HSL,113N,A-bus,1100,11.0,Bus - ICE,92.0
2114,HSL,114,A-bus,1100,11.0,Bus - ICE,92.0
2114N,HSL,114N,A-bus,1100,11.0,Bus - ICE,92.0
2116,HSL,116,M-bus,230,1.5,Bus - HEV,71.0
2117,HSL,117,M-bus,230,1.5,Bus - HEV,71.0
2118,HSL,118,A-bus,1100,11.0,Bus - ICE,92.0
2118N,HSL,118N,A-bus,1100,11.0,Bus - ICE,92.0
2119,HSL,119,M-bus,230,1.5,Bus - HEV,71.0
2121,HSL,121,A-bus,1100,11.0,Bus - ICE,92.0
2121A,HSL,121A,A-bus,1100,11.0,Bus - ICE,92.0
2124,HSL,124,A-bus,1100,11.0,Bus - ICE,92.0
2125,HSL,125,A-bus,1100,11.0,Bus - ICE,92.0
2125N,HSL,125N,A-bus,1100,11.0,Bus - ICE,92.0
2133,HSL,133,A-bus,1100,11.0,Bus - ICE,92.0
2134N,HSL,134N,C-bus,1300,14.0,Bus - ICE,92.0
2137,HSL,137,M-bus,230,1.5,Bus - HEV,71.0
2138,HSL,138,M-bus,230,1.5,Bus - HEV,71.0
2145,HSL,145,A-bus,1100,11.0,Bus - ICE,92.0
2146N,HSL,146N,C-bus,1300,14.0,Bus - ICE,92.0
2147,HSL,147,C-bus,1300,14.0,Bus - ICE,92.0
2147N,HSL,147N,C-bus,1300,14.0,Bus - ICE,92.0
2148,HSL,148,M-bus,230,1.5,Bus - HEV,71.0
2149,HSL,149,M-bus,230,1.5,Bus - HEV,71.0
2158,HSL,158,A-bus,1100,11.0,Bus - ICE,92.0
2159,HSL,159,A-bus,1100,11.0,Bus - ICE,92.0
2162,HSL,162,A-bus,1100,11.0,Bus - ICE,92.0
2163,HSL,163,A-bus,1100,11.0,Bus - ICE,92.0
2163K,HSL,163K,A-bus,1100,11.0,Bus - ICE,92.0
2164,HSL,164,C-bus,1300,14.0,Bus - ICE,92.0
2164K,HSL,164K,C-bus,1300,14.0,Bus - ICE,92.0
2165,HSL,165,C-bus,1300,14.0,Bus - ICE,92.0
2165N,HSL,165N,A-bus,1100,11.0,Bus - ICE,92.0
2166,HSL,166,A-bus,1100,11.0,Bus - ICE,92.0
2166K,HSL,166K,M-bus,230,1.5,Bus - HEV,71.0
2167,HSL,167,M-bus,230,1.5,Bus - HEV,71.0
2168,HSL,168,M-bus,230,1.5,Bus - HEV,71.0
2169,HSL,169,M-bus,230,1.5,Bus - HEV,71.0
2200,HSL,200,C-bus,1300,14.0,Bus - ICE,92.0
2201,HSL,201,M-bus,230,1.5,Bus - HEV,71.0
2201B,HSL,201B,A-bus,550,11.0,Bus - HEV,71.0
2202,HSL,202,A-bus,550,11.0,Bus - HEV,71.0
2203,HSL,203,A-bus,550,11.0,Bus - HEV,71.0
2206,HSL,206,A-bus,550,11.0,Bus - HEV,71.0
2206K,HSL,206K,A-bus,550,11.0,Bus - HEV,71.0
